CMYK,HEX,HSL,HSV,RGB,
"(0.1652892561983471, 0.5, 0, 0.050980392156862786)",CA79F2,"(280, 83, 71)","(280, 50, 95)","(202, 121, 242)",
"(0, 0.1652892561983471, 0.5, 0.050980392156862786)",F2CA79,"(40, 83, 71)","(40, 50, 95)","(242, 202, 121)",
"(0.5, 0, 0.1652892561983471, 0.050980392156862786)",79F2CA,"(160, 83, 71)","(160, 50, 95)","(121, 242, 202)",
