CMYK,HEX,HSL,HSV,RGB,
"(0.2366071428571429, 0.6205357142857144, 0, 0.1215686274509804)",AB55E0,"(277, 69, 61)","(277, 62, 88)","(171, 85, 224)",
"(0, 0.2366071428571429, 0.6205357142857144, 0.1215686274509804)",E0AB55,"(37, 69, 61)","(37, 62, 88)","(224, 171, 85)",
"(0.6205357142857144, 0, 0.2366071428571429, 0.1215686274509804)",55E0AB,"(157, 69, 61)","(157, 62, 88)","(85, 224, 171)",
