CMYK,HEX,HSL,HSV,RGB,
"(0.709251101321586, 0.2026431718061673, 0, 0.1098039215686275)",42B5E3,"(197, 74, 57)","(197, 71, 89)","(66, 181, 227)",
"(0, 0.709251101321586, 0.2026431718061673, 0.1098039215686275)",E342B5,"(317, 74, 57)","(317, 71, 89)","(227, 66, 181)",
"(0, 0.5110132158590308, 0.709251101321586, 0.1098039215686275)",E36F42,"(17, 74, 57)","(17, 71, 89)","(227, 111, 66)",
"(0.709251101321586, 0, 0.5110132158590308, 0.1098039215686275)",42E36F,"(137, 74, 57)","(137, 71, 89)","(66, 227, 111)",
