CMYK,HEX,HSL,HSV,RGB,
"(0.09139784946236558, 0.7795698924731183, 0, 0.2705882352941177)",A929BA,"(293, 64, 45)","(293, 78, 73)","(169, 41, 186)",
"(0, 0.09139784946236558, 0.7795698924731183, 0.2705882352941177)",BAA929,"(53, 64, 45)","(53, 78, 73)","(186, 169, 41)",
"(0.7795698924731183, 0, 0.09139784946236558, 0.2705882352941177)",29BAA9,"(173, 64, 45)","(173, 78, 73)","(41, 186, 169)",
