CMYK,HEX,HSL,HSV,RGB,
"(0, 0.5137254901960784, 0.5294117647058824, 0)",FF7C78,"(362, 100, 74)","(362, 53, 100)","(255, 124, 120)",
"(0.5294117647058824, 0, 0.5137254901960784, 0)",78FF7C,"(122, 100, 74)","(122, 53, 100)","(120, 255, 124)",
"(0.5137254901960784, 0.5294117647058824, 0, 0)",7C78FF,"(242, 100, 74)","(242, 53, 100)","(124, 120, 255)",
